p-value=0 means <3.586916362818826e-07, FDR=0 means <0.0004819022133447113
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Hmbs	6	6;10;15;20;115;348	BRDN0003500792;BRDN0003500793;BRDN0003500790;BRDN0003500791;BRDN0003500788;BRDN0003500789	4	10.67452313533605	7.877626438547133	0.0	0.0	0.0
B3galt6	6	1;8;51;54;280;367	BRDN0003495931;BRDN0003495930;BRDN0003495932;BRDN0003495933;BRDN0003495929;BRDN0003495928	6	10.192683749145859	7.142393188992091	0.0	0.0	0.0
Cpox	6	21;42;162;293;870;3338	BRDN0003497398;BRDN0003497400;BRDN0003497401;BRDN0003497399;BRDN0003497402;BRDN0003497403	4	6.024212104308202	4.578789559270217	2.869533091032217e-06	0.002570145138534405	0.002570145138534405
B3gat3	6	60;172;271;466;1619;5670	BRDN0003495946;BRDN0003495950;BRDN0003495951;BRDN0003495948;BRDN0003495949;BRDN0003495947	4	5.226504516866068	3.6064723068320443	2.546710618345216e-05	0.01710752857873406	0.013011359764085887
Slc39a7	6	9;68;471;823;1175;8927	BRDN0003507988;BRDN0003507990;BRDN0003507993;BRDN0003507992;BRDN0003507989;BRDN0003507991	5	5.2176451440937575	3.5130931805477488	2.5825797819845064e-05	0.013878783748384381	0.013011359764085887
B4galt7	6	7;92;223;706;1198;2694	BRDN0003496066;BRDN0003496069;BRDN0003496070;BRDN0003496068;BRDN0003496071;BRDN0003496067	5	5.176132635974517	4.204053001131444	2.9054022547270186e-05	0.013011359764085887	0.013011359764085887
Kdm1a	6	11;78;619;1276;1487;3872	BRDN0003502100;BRDN0003502098;BRDN0003502097;BRDN0003502099;BRDN0003502096;BRDN0003502101	5	4.714245284807989	3.5770706651579283	8.931421746027901e-05	0.03428390033082365	0.03428390033082365
Ppox	6	81;216;403;651;3830;5975	BRDN0003505773;BRDN0003505771;BRDN0003505772;BRDN0003505770;BRDN0003505769;BRDN0003505768	4	4.654760156335008	3.0489092404433666	0.00010545534109773769	0.03541981269120279	0.03541981269120279
Fdft1	6	34;392;1866;2001;2617;3166	BRDN0003498985;BRDN0003498982;BRDN0003498984;BRDN0003498987;BRDN0003498986;BRDN0003498983	6	4.577614671500372	2.807256966466859	0.00012805291419015763	0.03823090893654992	0.03823090893654992
Slc35b2	6	22;47;224;976;2021;12667	BRDN0003507738;BRDN0003507740;BRDN0003507741;BRDN0003507739;BRDN0003507736;BRDN0003507737	3	4.454575318026284	3.728091648547445	0.00016894376073828266	0.04539518851037674	0.04539518851037674
Chst9	6	624;814;1256;1733;1734;8980	BRDN0003496945;BRDN0003496946;BRDN0003496942;BRDN0003496944;BRDN0003496943;BRDN0003496947	5	4.38696608240543	2.3191895469642394	0.00019728040001287805	0.04819022134859985	0.04819022134859985
Slc25a32	6	381;1149;1441;2170;3170;3654	BRDN0003507274;BRDN0003507276;BRDN0003507278;BRDN0003507275;BRDN0003507279;BRDN0003507277	6	4.2040688765592815	2.3956492652809893	0.00030417050765618736	0.06810884617268156	0.06810884617268156
Ugp2	6	258;1022;1116;1517;2031;4483	BRDN0003509702;BRDN0003509699;BRDN0003509703;BRDN0003509700;BRDN0003509701;BRDN0003509698	5	4.051498679529344	2.652589872331048	0.0004332994967555237	0.08955967290631413	0.08955967290631413
Dbi	6	427;1172;1614;1807;2096;11151	BRDN0003497962;BRDN0003497964;BRDN0003497966;BRDN0003497967;BRDN0003497965;BRDN0003497963	5	3.984826043817979	2.228810163483784	0.0004996574494872119	0.09589854048372456	0.09589854048372456
Ext1	6	17;88;857;1055;2280;5151	BRDN0003498814;BRDN0003498817;BRDN0003498815;BRDN0003498819;BRDN0003498816;BRDN0003498818	4	3.83613977307536	3.238714632049624	0.0007105681316827983	0.12728643798877787	0.11904912281959178
Hsd17b7	6	43;317;379;1556;9170;9341	BRDN0003501039;BRDN0003501037;BRDN0003501034;BRDN0003501036;BRDN0003501038;BRDN0003501035	3	3.780595899405518	2.331613821577996	0.0008056214153253638	0.13529404643620385	0.11904912281959178
Manba	6	327;882;995;2150;2349;16159	BRDN0003502646;BRDN0003502643;BRDN0003502644;BRDN0003502647;BRDN0003502642;BRDN0003502645	5	3.744183863142095	2.304842043448246	0.0008802292756938668	0.13912800375231818	0.11904912281959178
Pik3r2	6	428;575;751;2110;4266;4376	BRDN0003505109;BRDN0003505113;BRDN0003505108;BRDN0003505112;BRDN0003505110;BRDN0003505111	6	3.734216254706149	2.43894239941466	0.000894218249512968	0.13348691313562863	0.11904912281959178
Idh3a	6	370;1184;1798;2613;4200;4402	BRDN0003501137;BRDN0003501141;BRDN0003501140;BRDN0003501139;BRDN0003501138;BRDN0003501136	6	3.718779905354421	2.122983992765044	0.0009160984393326022	0.12955560560456278	0.11904912281959178
Angptl3	6	16;66;5368;6250;11922;13141	BRDN0003495019;BRDN0003495016;BRDN0003495017;BRDN0003495018;BRDN0003495021;BRDN0003495020	2	3.7179764069843064	1.9520275908505005	0.0009250657302423138	0.12428258085805352	0.11904912281959178
Cflar	4	29;175;694;2943	BRDN0003510536;BRDN0003510535;BRDN0003510534;BRDN0003510537	3	3.6809528586502873	3.0829054559968	0.0009917823746102838	0.12690091621799165	0.11904912281959178
Has2	6	181;1185;2119;2968;4055;4485	BRDN0003500638;BRDN0003500639;BRDN0003500640;BRDN0003500642;BRDN0003500641;BRDN0003500643	6	3.6701054503777297	2.109716764058293	0.0010190429389757005	0.12446219895580371	0.11904912281959178
Ndufb10	6	407;590;1085;1183;4713;14605	BRDN0003503577;BRDN0003503576;BRDN0003503574;BRDN0003503573;BRDN0003503575;BRDN0003503572	4	3.6436659486130156	2.23960638701987	0.0010778683673432488	0.1259231436109262	0.11904912281959178
Slc25a3	6	269;319;621;1186;2777;5034	BRDN0003507256;BRDN0003507258;BRDN0003507257;BRDN0003507261;BRDN0003507260;BRDN0003507259	4	3.639418044355668	2.836225745659766	0.0010925747244351358	0.12232284518988273	0.11904912281959178
Gnpat	6	608;612;660;2000;2478;5451	BRDN0003500103;BRDN0003500101;BRDN0003500102;BRDN0003500099;BRDN0003500098;BRDN0003500100	5	3.6316096728772815	2.5427597071541896	0.0011076397731633048	0.11904912281959178	0.11904912281959178
Gal3st1	6	444;1014;1384;3817;4184;4630	BRDN0003499412;BRDN0003499408;BRDN0003499411;BRDN0003499409;BRDN0003499413;BRDN0003499410	6	3.587194188550676	2.0634985531630754	0.0012270840880802547	0.12681442094890846	0.12681442094890846
Inpp4b	6	192;1515;1748;2711;3724;4750	BRDN0003501262;BRDN0003501267;BRDN0003501265;BRDN0003501266;BRDN0003501263;BRDN0003501264	6	3.5205184769091957	2.140660376292009	0.0014297448626390263	0.14228609058929848	0.14228609058929848
Car6	6	150;1303;1671;2185;2684;14508	BRDN0003496310;BRDN0003496311;BRDN0003496308;BRDN0003496306;BRDN0003496309;BRDN0003496307	5	3.4638800380612835	2.1229473108578363	0.0016166232051966212	0.15513809115583188	0.15513809115583188
Polr2d	4	226;478;847;12364	BRDN0003510644;BRDN0003510643;BRDN0003510642;BRDN0003510645	3	3.4251625872999223	2.3871387566450046	0.001755078176842062	0.16261707107498677	0.16261707107498677
Pik3ca	6	56;139;519;2399;4169;18218	BRDN0003505081;BRDN0003505079;BRDN0003505083;BRDN0003505080;BRDN0003505082;BRDN0003505078	3	3.381205644159992	2.646635147213241	0.0019398043695814104	0.17374181136884065	0.1647202003472056
Sult2a1	6	19;98;4805;5212;6579;8984	BRDN0003510335;BRDN0003510337;BRDN0003510334;BRDN0003510338;BRDN0003510339;BRDN0003510336	2	3.3776564699421217	1.8712610578610989	0.0019591737179464053	0.16981612193941895	0.1647202003472056
Alad	6	220;982;1314;1678;4742;5020	BRDN0003494691;BRDN0003494687;BRDN0003494690;BRDN0003494689;BRDN0003494688;BRDN0003494686	6	3.3764578317882785	2.264853050636289	0.0019616845594010446	0.1647202003472056	0.1647202003472056
